State,Fund,Company Name,Deployment Year,Locations Obligation through Deployment Year,Locations Deployed through Deployment Year,Total Support Disbursed through Deployment Year
AL,ACAM,TELEPHONE ELECTRONICS CORPORATION,2017,,2417,1049719.2
AL,ACAM,TELEPHONE ELECTRONICS CORPORATION,2018,,2489,2469927.6
AL,ACAM,TELEPHONE ELECTRONICS CORPORATION,2019,,2491,3750837.24
AL,ACAM,TELEPHONE ELECTRONICS CORPORATION,2020,1192,2572,5031746.88
AL,ACAM II,"TROY CABLEVISION, INC.",2000,,63,0
AL,ACAM II,"TROY CABLEVISION, INC.",2001,,63,0
AL,ACAM II,"TROY CABLEVISION, INC.",2002,,63,0
AL,ACAM II,"TROY CABLEVISION, INC.",2003,,135,0
AL,ACAM II,"TROY CABLEVISION, INC.",2004,,135,0
AL,ACAM II,"TROY CABLEVISION, INC.",2005,,135,0
AL,ACAM II,"TROY CABLEVISION, INC.",2006,,135,0
AL,ACAM II,"TROY CABLEVISION, INC.",2007,,135,0
AL,ACAM II,"TROY CABLEVISION, INC.",2008,,288,0
AL,ACAM II,"TROY CABLEVISION, INC.",2009,,428,0
AL,ACAM II,"TROY CABLEVISION, INC.",2010,,428,0
AL,ACAM II,"TROY CABLEVISION, INC.",2011,,428,0
AL,ACAM II,"TROY CABLEVISION, INC.",2012,,428,0
AL,ACAM II,"TROY CABLEVISION, INC.",2013,,594,0
AL,ACAM II,"TROY CABLEVISION, INC.",2014,,594,0
AL,ACAM II,"TROY CABLEVISION, INC.",2015,,855,0
AL,ACAM II,"TROY CABLEVISION, INC.",2016,,1090,0
AL,ACAM II,"TROY CABLEVISION, INC.",2017,,1238,0
AL,ACAM II,"TROY CABLEVISION, INC.",2018,,1441,0
AL,ACAM II,"TROY CABLEVISION, INC.",2019,,1675,1108773.36
AL,ACAM II,"TROY CABLEVISION, INC.",2020,,1842,3091302.72
AL,CAF II,AT&T INC.,2016,,865,23431929
AL,CAF II,AT&T INC.,2017,26707,7724,46759283
AL,CAF II,AT&T INC.,2018,40060,10593,69982064
AL,CAF II,AT&T INC.,2019,53413,24491,93143840
AL,CAF II,AT&T INC.,2020,66766,84602,116305616
AL,CAF II,"CENTURYLINK, INC.",2015,,391,7620620
AL,CAF II,"CENTURYLINK, INC.",2016,,1429,25771293
AL,CAF II,"CENTURYLINK, INC.",2017,19546,1690,43588805
AL,CAF II,"CENTURYLINK, INC.",2018,29319,2792,61073154
AR,ACAM II,SOUTH ARKANSAS TEL,2016,,2439,0
AR,CAF II,AT&T INC.,2017,20717,6249,42701664
AR,CAF II,AT&T INC.,2018,31076,8555,64052496
AR,CAF II,AT&T INC.,2019,41434,16519,85403328
AR,CAF II,AT&T INC.,2020,51792,55836,106754160
AR,CAF II,"CENTURYLINK, INC.",2015,,194,13217500
AR,CAF II,"CENTURYLINK, INC.",2016,,921,43278320
AR,CAF II,"CENTURYLINK, INC.",2017,18284,1269,69352308
AR,CAF II,"CENTURYLINK, INC.",2018,27425,2704,91439464
AR,CAF II,"CENTURYLINK, INC.",2019,36567,6899,111200968
AR,CAF II,"CENTURYLINK, INC.",2020,45708,42809,130962472
AR,CAF II,"WINDSTREAM HOLDINGS, INC.",2019,25850,26145,13163784
AR,CAF II,"WINDSTREAM HOLDINGS, INC.",2020,32312,33062,26327568
AR,CAF II Auc,"3E8 BROADBAND SOLUTIONS, LLC",2019,,35,181092.3
AR,CAF II Auc,"3E8 BROADBAND SOLUTIONS, LLC",2020,,497,513094.85
AR,CAF II Auc,ARISTOTLE UNIFIED COMMUNICATIONS,2015,,37,0
AR,CAF II Auc,ARISTOTLE UNIFIED COMMUNICATIONS,2016,,52,0
AR,CAF II Auc,ARISTOTLE UNIFIED COMMUNICATIONS,2017,,52,0
AR,CAF II Auc,ARISTOTLE UNIFIED COMMUNICATIONS,2018,,52,0
